entity	relation	tag
2374	taggedAs	9548
236	taggedAs	9577
879	taggedAs	10718
66	taggedAs	12549
76	taggedAs	9388
2241	film.distributor.film	4144
1425	taggedAs	9365
1585	taggedAs	9397
356	taggedAs	11275
34	taggedAs	9670
2904	film.person_or_entity_appearing_in_film.film	7027
3137	music.artist.origin	5161
3648	film.actor.film	4210
3709	taggedAs	11889
517	taggedAs	9398
1336	taggedAs	11099
479	taggedAs	9555
413	taggedAs	11246
3701	taggedAs	9403
39	film.person_or_entity_appearing_in_film.film	6571
3238	music.artist.origin	6505
82	film.actor.film	7084
161	taggedAs	11561
1698	taggedAs	9929
1474	film.person_or_entity_appearing_in_film.film	8146
3026	film.person_or_entity_appearing_in_film.film	8482
2498	taggedAs	9403
1660	taggedAs	18626
2460	film.actor.film	8672
781	film.actor.film	8890
30	taggedAs	9555
2062	taggedAs	9559
2954	taggedAs	10464
528	taggedAs	9442
202	film.person_or_entity_appearing_in_film.film	5052
1236	taggedAs	9379
3198	film.actor.film	9297
293	taggedAs	19184
3166	film.actor.film	5079
1383	taggedAs	9617
1157	film.person_or_entity_appearing_in_film.film	4809
3132	taggedAs	18546
297	taggedAs	15814
509	taggedAs	9580
1078	taggedAs	10898
261	taggedAs	9382
661	taggedAs	12546
650	taggedAs	9437
2029	film.actor.film	7536
2049	taggedAs	9577
585	taggedAs	9558
1463	award.nominee.award_nominations	9094
31	taggedAs	9403
1090	music.artist.origin	3864
987	film.person_or_entity_appearing_in_film.film	7036
948	taggedAs	10396
2330	taggedAs	9551
1091	taggedAs	15846
1416	taggedAs	15847
3004	people.person.place_of_birth	4077
895	taggedAs	9685
758	taggedAs	9679
2241	film.distributor.film	8321
404	taggedAs	9602
1405	taggedAs	9443
1548	taggedAs	10902
3186	taggedAs	9670
956	taggedAs	14075
2995	taggedAs	9540
381	taggedAs	9437
358	film.actor.film	5276
3198	taggedAs	10059
2370	film.actor.film	8954
407	film.actor.film	7491
239	film.person_or_entity_appearing_in_film.film	5797
897	taggedAs	10099
3363	taggedAs	9611
3248	taggedAs	9890
253	taggedAs	10715
1558	taggedAs	10394
1384	taggedAs	21584
309	taggedAs	16162
201	music.artist.origin	3864
987	taggedAs	12739
776	taggedAs	17007
538	film.person_or_entity_appearing_in_film.film	5389
377	taggedAs	14085
3725	film.actor.film	4802
3321	film.person_or_entity_appearing_in_film.film	4748
127	film.actor.film	6364
2636	film.actor.film	4236
871	taggedAs	9371
1912	taggedAs	10234
1597	film.person_or_entity_appearing_in_film.film	5518
560	taggedAs	9558
1567	film.actor.film	4846
2378	taggedAs	12950
3165	taggedAs	9670
1626	people.person.place_of_birth	4013
948	film.actor.film	5696
2298	taggedAs	18795
442	award.competitor.award_nominations	5546
1671	taggedAs	9551
2265	people.person.place_of_birth	4362
1845	film.person_or_entity_appearing_in_film.film	8908
821	taggedAs	9551
1041	taggedAs	17867
1323	film.person_or_entity_appearing_in_film.film	4102
499	taggedAs	10255
2161	film.person_or_entity_appearing_in_film.film	5485
2459	music.musician.instruments_played	4349
3539	taggedAs	9551
1728	taggedAs	9938
2711	film.person_or_entity_appearing_in_film.film	8348
588	music.artist.origin	4471
1601	film.actor.film	8955
2741	film.actor.film	3867
2214	film.person_or_entity_appearing_in_film.film	8093
127	taggedAs	9443
1150	taggedAs	9796
1719	film.person_or_entity_appearing_in_film.film	6458
2487	film.person_or_entity_appearing_in_film.film	5747
2241	film.distributor.film	8066
508	taggedAs	9673
102	taggedAs	9451
2294	taggedAs	9389
275	taggedAs	9883
723	taggedAs	9388
3648	film.person_or_entity_appearing_in_film.film	5392
2241	film.distributor.film	8898
1708	taggedAs	9651
1428	cvg.computer_videogame.publisher	8258
3655	taggedAs	9494
414	film.person_or_entity_appearing_in_film.film	6536
1748	film.actor.film	5152
1707	film.actor.film	4846
261	taggedAs	9555
1339	taggedAs	9388
1330	taggedAs	10212
2452	taggedAs	9845
1188	taggedAs	9549
2248	taggedAs	9675
387	film.actor.film	6038
1728	taggedAs	9452
88	taggedAs	9388
1294	taggedAs	14075
1885	film.person_or_entity_appearing_in_film.film	7770
1105	taggedAs	10902
939	taggedAs	9716
2347	taggedAs	9443
354	taggedAs	9577
3250	people.person.profession	4221
745	taggedAs	10737
2116	music.artist.origin	4013
434	film.actor.film	5190
2766	film.person_or_entity_appearing_in_film.film	9168
2241	film.distributor.film	4984
11	taggedAs	9811
1804	taggedAs	15536
45	taggedAs	10091
2531	taggedAs	9396
940	taggedAs	9559
3738	cvg.publisher.games_published	5772
1706	taggedAs	9651
1370	film.film.language	4076
2674	film.actor.film	8332
2194	taggedAs	10249
1967	taggedAs	9382
236	taggedAs	21652
483	taggedAs	21651
790	film.person_or_entity_appearing_in_film.film	6796
445	taggedAs	9598
3031	film.actor.film	5905
3325	taggedAs	9388
1473	film.person_or_entity_appearing_in_film.film	8489
686	music.artist.origin	3864
633	film.person_or_entity_appearing_in_film.film	8129
774	taggedAs	9617
934	taggedAs	11223
527	film.person_or_entity_appearing_in_film.film	6197
3763	film.person_or_entity_appearing_in_film.film	6115
418	taggedAs	21162
436	film.person_or_entity_appearing_in_film.film	7015
413	taggedAs	9673
2639	taggedAs	9397
1003	taggedAs	9524
1446	taggedAs	9491
579	music.artist.origin	7930
125	taggedAs	9365
481	people.person.place_of_birth	7624
1074	taggedAs	9498
99	taggedAs	9403
539	taggedAs	9564
1045	film.actor.film	5103
524	taggedAs	9491
191	taggedAs	9548
893	film.person_or_entity_appearing_in_film.film	5887
484	film.person_or_entity_appearing_in_film.film	9194
1322	taggedAs	9796
915	taggedAs	17379
2635	film.actor.film	8746
2180	taggedAs	21572
901	film.person_or_entity_appearing_in_film.film	6412
413	taggedAs	9602
1116	music.artist.origin	4010
213	taggedAs	9365
2487	film.actor.film	5085
1123	taggedAs	9749
2340	taggedAs	9447
241	film.actor.film	8257
1248	event.agent.performance	8048
2913	film.person_or_entity_appearing_in_film.film	5804
1565	taggedAs	9466
1357	film.person_or_entity_appearing_in_film.film	7496
958	taggedAs	9430
284	taggedAs	9938
1038	taggedAs	9494
1154	film.actor.film	7569
625	film.person_or_entity_appearing_in_film.film	4835
537	tv.program.genre	4579
438	taggedAs	9551
2635	film.actor.film	9332
508	film.director.film	4178
289	taggedAs	9440
283	music.artist.origin	4924
785	film.actor.film	5526
912	film.actor.film	5323
2078	film.actor.film	6449
3529	taggedAs	9397
189	taggedAs	9656
192	taggedAs	11099
22	taggedAs	9382
98	taggedAs	11336
295	taggedAs	9397
2951	film.person_or_entity_appearing_in_film.film	4794
1694	film.person_or_entity_appearing_in_film.film	5331
2200	taggedAs	9548
3049	film.person_or_entity_appearing_in_film.film	7662
1603	film.actor.film	7723
3546	film.actor.film	7097
3738	cvg.publisher.games_published	8000
1046	taggedAs	17359
1555	music.artist.origin	3864
1154	film.actor.film	7817
2910	taggedAs	9437
126	taggedAs	9494
575	taggedAs	9378
1743	taggedAs	10729
1423	film.actor.film	6406
3662	music.musician.instruments_played	4349
72	taggedAs	9728
465	taggedAs	9382
1211	film.actor.film	4281
2494	people.person.place_of_birth	4537
508	taggedAs	9580
957	taggedAs	16619
223	taggedAs	9390
2711	film.actor.film	7177
445	film.actor.film	8397
2417	taggedAs	9382
484	film.person_or_entity_appearing_in_film.film	7318
1311	taggedAs	9450
199	taggedAs	10443
2635	film.actor.film	6393
2599	film.actor.film	7557
3355	film.person_or_entity_appearing_in_film.film	4556
399	taggedAs	10193
782	taggedAs	10194
2090	taggedAs	10794
2322	taggedAs	21298
2460	film.actor.film	8228
2241	film.production_company.film	7017
3637	taggedAs	9663
1531	taggedAs	16616
2653	music.artist.origin	6012
557	film.person_or_entity_appearing_in_film.film	6654
988	film.person_or_entity_appearing_in_film.film	5185
1473	film.actor.film	8532
190	film.person_or_entity_appearing_in_film.film	8279
854	taggedAs	19189
98	taggedAs	10957
1406	taggedAs	10189
431	taggedAs	10613
2455	taggedAs	9443
130	taggedAs	10353
1374	taggedAs	18802
2818	music.artist.origin	4024
1062	taggedAs	9437
1891	film.person_or_entity_appearing_in_film.film	8640
280	taggedAs	9442
630	film.actor.film	9093
81	film.actor.film	8832
458	people.person.place_of_birth	5662
3221	taggedAs	10471
1911	music.artist.origin	4362
797	taggedAs	9716
2306	film.person_or_entity_appearing_in_film.film	5396
958	taggedAs	9452
210	taggedAs	9545
891	taggedAs	9491
1623	taggedAs	12905
3100	music.artist.origin	4199
673	people.person.profession	4221
184	film.person_or_entity_appearing_in_film.film	4460
3598	film.person_or_entity_appearing_in_film.film	5799
1323	film.person_or_entity_appearing_in_film.film	4042
1619	taggedAs	19456
541	taggedAs	9390
67	film.actor.film	8131
777	taggedAs	9388
2867	film.actor.film	4933
1356	film.actor.film	8319
1273	music.artist.origin	5061
956	taggedAs	9716
79	film.person_or_entity_appearing_in_film.film	5029
2660	taggedAs	9551
1473	film.person_or_entity_appearing_in_film.film	7866
1416	taggedAs	9524
1464	film.actor.film	6985
1576	taggedAs	9989
574	taggedAs	9728
118	taggedAs	9366
2962	taggedAs	10214
330	taggedAs	9425
38	taggedAs	11501
257	taggedAs	10325
783	people.person.place_of_birth	4362
941	taggedAs	10099
74	taggedAs	9580
67	film.actor.film	6767
754	taggedAs	9574
645	film.actor.film	6461
37	taggedAs	16340
1352	taggedAs	17161
271	taggedAs	9873
67	taggedAs	9649
1464	film.person_or_entity_appearing_in_film.film	8972
2492	taggedAs	9443
1298	taggedAs	9445
1040	film.person_or_entity_appearing_in_film.film	7384
515	music.artist.origin	3961
1514	taggedAs	20804
2858	taggedAs	9382
681	film.actor.film	5990
70	taggedAs	11275
2	taggedAs	9371
46	taggedAs	17862
1633	film.actor.film	4005
1605	taggedAs	9551
913	taggedAs	9389
860	taggedAs	9438
3242	film.person_or_entity_appearing_in_film.film	8901
795	taggedAs	20833
2636	film.actor.film	5116
2635	film.person_or_entity_appearing_in_film.film	8310
3561	people.person.place_of_birth	4455
894	film.person_or_entity_appearing_in_film.film	7549
458	music.artist.album	3979
1473	film.person_or_entity_appearing_in_film.film	8394
3793	music.artist.origin	7091
1074	film.actor.film	7024
53	taggedAs	10203
570	taggedAs	9466
2351	people.person.place_of_birth	4876
1087	film.actor.film	7107
3827	film.actor.film	9132
2762	music.artist.origin	5161
2686	taggedAs	22003
100	taggedAs	13017
575	taggedAs	9544
1105	taggedAs	17867
3327	music.artist.origin	8939
1538	taggedAs	9542
267	taggedAs	9549
271	taggedAs	9883
61	taggedAs	10026
133	taggedAs	9388
453	taggedAs	16616
3512	taggedAs	9365
3235	taggedAs	9382
3386	taggedAs	9663
243	taggedAs	9979
2241	film.distributor.film	7230
3696	taggedAs	9380
2402	taggedAs	10787
190	taggedAs	9491
2070	film.person_or_entity_appearing_in_film.film	8060
678	taggedAs	9382
674	film.person_or_entity_appearing_in_film.film	6161
224	taggedAs	19923
2187	taggedAs	9382
3714	taggedAs	12941
1911	taggedAs	10034
782	taggedAs	16188
799	taggedAs	9891
2400	taggedAs	9473
2098	music.musician.instruments_played	3959
1555	taggedAs	9485
2838	taggedAs	10053
407	film.actor.film	5285
42	taggedAs	13692
1383	film.actor.film	7364
538	film.person_or_entity_appearing_in_film.film	3941
3599	film.actor.film	5683
53	taggedAs	9491
2928	taggedAs	9559
644	people.person.place_of_birth	5226
1268	music.artist.origin	4454
357	taggedAs	9559
1358	people.person.place_of_birth	4321
607	taggedAs	10299
1128	taggedAs	21241
2460	film.actor.film	4926
985	taggedAs	10732
1734	taggedAs	13410
608	taggedAs	16165
98	taggedAs	9567
1006	award.nominee.award_nominations	6621
2993	taggedAs	9555
184	taggedAs	9606
2341	taggedAs	10188
2399	music.artist.origin	6249
1900	music.artist.origin	5900
1662	taggedAs	10194
2281	taggedAs	9469
1091	taggedAs	18218
2180	taggedAs	10249
3498	film.actor.film	6719
124	taggedAs	9365
818	film.person_or_entity_appearing_in_film.film	6596
716	taggedAs	10587
2098	taggedAs	9972
2670	film.actor.film	8392
316	music.artist.origin	5061
116	people.person.place_of_birth	3926
1768	taggedAs	9734
2080	film.actor.film	7248
552	taggedAs	9720
1986	taggedAs	9540
574	taggedAs	9551
3804	taggedAs	9673
3500	people.person.place_of_birth	4975
16	taggedAs	10083
282	taggedAs	9443
656	taggedAs	9443
628	film.actor.film	9308
1494	taggedAs	9580
484	film.person_or_entity_appearing_in_film.film	8475
1624	film.person_or_entity_appearing_in_film.film	6661
295	taggedAs	9551
1183	taggedAs	9472
579	taggedAs	9397
498	taggedAs	10251
2372	taggedAs	9389
1722	taggedAs	10106
382	taggedAs	9551
853	taggedAs	10819
254	taggedAs	9577
1181	taggedAs	9377
305	taggedAs	9540
3022	taggedAs	9485
184	taggedAs	9413
3519	people.person.place_of_birth	4158
1353	film.actor.film	5586
2744	music.artist.origin	4199
625	film.person_or_entity_appearing_in_film.film	9360
52	taggedAs	9751
47	taggedAs	9491
1383	film.actor.film	8330
2028	taggedAs	10188
1311	taggedAs	9931
500	taggedAs	9390
728	music.artist.origin	4380
1844	taggedAs	9449
1667	taggedAs	9388
2241	film.distributor.film	4685
3092	taggedAs	11046
798	taggedAs	9494
117	taggedAs	10188
538	taggedAs	9403
87	taggedAs	9873
3792	people.person.profession	8928
1247	film.actor.film	4705
445	taggedAs	9491
3598	film.actor.film	8282
474	taggedAs	9559
3567	taggedAs	9545
483	taggedAs	9445
484	film.person_or_entity_appearing_in_film.film	7939
1430	taggedAs	9716
337	taggedAs	9450
1855	taggedAs	9968
2241	film.production_company.film	4624
91	film.actor.film	7051
870	taggedAs	9370
876	taggedAs	18546
2065	taggedAs	9563
1018	taggedAs	11244
2738	taggedAs	9548
73	taggedAs	9403
1311	taggedAs	9932
1299	film.actor.film	8227
379	film.actor.film	4431
698	people.person.place_of_birth	4416
354	taggedAs	9811
420	taggedAs	11610
119	music.artist.track	3927
185	taggedAs	9718
453	taggedAs	9491
508	taggedAs	11199
760	taggedAs	9685
114	taggedAs	20055
2911	taggedAs	9387
307	film.person_or_entity_appearing_in_film.film	4595
2573	taggedAs	9425
958	taggedAs	19474
41	taggedAs	10203
2459	music.artist.origin	4133
385	taggedAs	21386
2460	film.person_or_entity_appearing_in_film.film	8418
353	taggedAs	10189
2858	taggedAs	9397
3484	taggedAs	19189
572	taggedAs	9491
100	people.person.profession	4221
3598	film.actor.film	6572
2491	taggedAs	11555
2595	people.person.place_of_birth	5243
3212	people.person.place_of_birth	9162
493	taggedAs	9437
2074	taggedAs	17005
2254	taggedAs	9559
3627	taggedAs	9431
77	taggedAs	10451
3297	film.person_or_entity_appearing_in_film.film	4846
2241	film.production_company.film	6982
2262	music.artist.origin	3864
356	taggedAs	11199
3606	taggedAs	9403
3738	games.publisher.games_published	4833
45	taggedAs	9577
844	taggedAs	9382
3020	film.actor.film	6460
484	taggedAs	10438
794	taggedAs	9561
2723	taggedAs	9549
483	taggedAs	9382
956	taggedAs	9964
1922	music.artist.origin	4416
762	taggedAs	9668
894	film.person_or_entity_appearing_in_film.film	5341
2608	taggedAs	9445
1357	film.actor.film	8012
223	taggedAs	9594
838	taggedAs	9445
2985	taggedAs	9494
2241	film.distributor.film	7074
2731	film.person_or_entity_appearing_in_film.film	4151
1821	taggedAs	9770
2597	film.actor.film	8152
1787	film.actor.film	7645
361	music.artist.track	7249
591	music.artist.origin	4455
3738	cvg.publisher.games_published	4781
79	taggedAs	9888
2394	people.person.place_of_birth	4496
1136	taggedAs	15534
1708	taggedAs	10004
218	taggedAs	9555
1637	music.artist.album	4338
1100	taggedAs	9379
2490	taggedAs	10719
1536	film.person_or_entity_appearing_in_film.film	4418
2669	taggedAs	9378
3	taggedAs	9888
359	music.artist.origin	6502
47	taggedAs	9649
446	taggedAs	9365
1385	taggedAs	11506
1793	taggedAs	9559
3648	film.actor.film	5375
79	taggedAs	9649
1851	taggedAs	9494
24	taggedAs	9602
1607	taggedAs	9543
1091	taggedAs	9442
3422	music.artist.origin	4174
528	taggedAs	9445
256	taggedAs	11564
3738	games.publisher.games_published	6780
951	taggedAs	9437
1589	taggedAs	11007
492	film.actor.film	8591
727	people.person.place_of_birth	4191
1628	taggedAs	12900
3020	film.person_or_entity_appearing_in_film.film	6460
2174	music.artist.origin	5403
1473	film.person_or_entity_appearing_in_film.film	5449
410	film.actor.film	6879
3193	taggedAs	9734
151	people.person.profession	4221
75	taggedAs	17667
775	taggedAs	9796
2099	taggedAs	9494
880	taggedAs	9494
413	taggedAs	10094
3318	people.person.place_of_birth	4063
258	taggedAs	13887
2507	taggedAs	14374
1312	taggedAs	13015
2758	taggedAs	9467
2070	film.actor.film	6541
2833	film.person_or_entity_appearing_in_film.film	9058
3249	taggedAs	9396
774	film.person_or_entity_appearing_in_film.film	6362
3195	taggedAs	9444
2400	film.actor.film	7014
2061	music.artist.origin	4852
2700	taggedAs	9469
988	film.person_or_entity_appearing_in_film.film	4629
383	film.person_or_entity_appearing_in_film.film	7106
44	taggedAs	9666
1989	taggedAs	9437
109	taggedAs	9574
1847	taggedAs	9663
628	film.person_or_entity_appearing_in_film.film	5364
1800	taggedAs	11504
2943	taggedAs	9710
3318	music.artist.origin	4896
2666	taggedAs	9484
580	music.artist.origin	5521
2155	taggedAs	9551
1303	taggedAs	9437
3048	film.actor.film	5774
815	film.actor.film	4757
1662	taggedAs	9445
919	taggedAs	9388
772	taggedAs	9443
681	taggedAs	9649
1911	taggedAs	9660
2207	taggedAs	9467
2944	film.actor.film	7366
187	taggedAs	9398
300	taggedAs	9365
1337	taggedAs	12538
2636	film.person_or_entity_appearing_in_film.film	5630
386	taggedAs	9388
1064	taggedAs	9488
190	taggedAs	13193
46	taggedAs	9872
192	taggedAs	9382
34	taggedAs	9451
3035	film.person_or_entity_appearing_in_film.film	8019
116	taggedAs	9382
1324	people.person.place_of_birth	3895
4	taggedAs	10811
2369	taggedAs	9382
35	taggedAs	9377
851	people.deceased_person.place_of_death	4094
951	type.object.subject_key	951
3755	taggedAs	9445
2925	taggedAs	9382
22	taggedAs	9673
143	taggedAs	9437
1722	music.artist.origin	4454
2100	award.competitor.award_nominations	6009
445	taggedAs	11275
1676	taggedAs	9389
18	taggedAs	9685
277	taggedAs	21572
2324	film.film.country	3961
1265	music.artist.origin	6361
3564	taggedAs	9546
2635	film.actor.film	6937
966	taggedAs	9382
285	taggedAs	16650
775	taggedAs	9380
997	film.actor.film	5005
2489	taggedAs	9753
633	film.actor.film	4759
3355	film.actor.film	3848
1761	taggedAs	9685
762	taggedAs	17814
278	music.musician.instruments_played	4349
2336	people.person.place_of_birth	5793
2635	film.actor.film	4647
79	taggedAs	9566
1323	taggedAs	9580
1703	taggedAs	9734
55	taggedAs	9472
459	taggedAs	9378
1783	film.actor.film	9210
192	music.artist.track	8039
601	taggedAs	9592
2098	taggedAs	10615
3248	taggedAs	16404
1020	taggedAs	9448
468	taggedAs	9890
1014	music.musician.instruments_played	3851
3745	film.person_or_entity_appearing_in_film.film	7540
619	music.musician.instruments_played	3959
2321	music.artist.origin	5421
799	taggedAs	9716
243	taggedAs	9437
3132	film.person_or_entity_appearing_in_film.film	8681
3774	film.film.genre	4062
1453	film.actor.film	7252
2241	film.distributor.film	8466
3738	cvg.publisher.games_published	5856
3513	music.artist.album	6126
2051	film.actor.film	3999
529	taggedAs	9466
1246	taggedAs	9673
735	taggedAs	9466
66	taggedAs	9876
74	taggedAs	9602
3396	film.person_or_entity_appearing_in_film.film	5109
1317	music.artist.origin	6185
627	film.actor.film	6109
2259	film.actor.film	4670
3599	film.person_or_entity_appearing_in_film.film	6047
1022	film.person_or_entity_appearing_in_film.film	4385
1311	taggedAs	9452
989	taggedAs	11479
2737	film.person_or_entity_appearing_in_film.film	5017
276	taggedAs	11343
374	taggedAs	17301
1421	taggedAs	10360
1720	film.actor.film	4755
3279	music.artist.origin	4103
777	film.actor.film	8008
3805	music.artist.origin	4040
645	film.person_or_entity_appearing_in_film.film	8074
3827	film.actor.film	9207
2449	film.person_or_entity_appearing_in_film.film	7239
1003	taggedAs	9660
3498	film.actor.film	6495
3213	taggedAs	9443
728	taggedAs	9551
2635	film.actor.film	4051
883	taggedAs	9442
498	music.artist.track	5472
713	taggedAs	9491
1576	taggedAs	10070
344	taggedAs	9450
302	taggedAs	9577
2944	taggedAs	9875
782	film.actor.film	6006
319	film.film.genre	4062
3282	taggedAs	10319
2241	film.distributor.film	8508
2594	taggedAs	9551
1684	taggedAs	9369
790	taggedAs	12903
242	taggedAs	9368
2487	film.actor.film	5865
1725	taggedAs	9377
2372	taggedAs	11131
257	taggedAs	13761
36	taggedAs	11700
928	taggedAs	9378
1816	film.person_or_entity_appearing_in_film.film	7987
2070	film.actor.film	6813
484	film.person_or_entity_appearing_in_film.film	3985
396	taggedAs	13761
1464	film.actor.film	7797
133	taggedAs	9877
2649	music.artist.origin	4635
25	taggedAs	10156
3228	taggedAs	9394
3262	taggedAs	13969
1037	music.artist.origin	7091
2683	taggedAs	13637
260	taggedAs	9491
2629	music.artist.origin	4453
47	taggedAs	9445
899	film.person_or_entity_appearing_in_film.film	5466
374	taggedAs	13647
1589	taggedAs	9437
7	taggedAs	10896
2540	music.artist.origin	7807
1277	taggedAs	10666
166	taggedAs	9397
1243	taggedAs	17005
3720	taggedAs	10200
2895	taggedAs	9890
22	taggedAs	9760
118	taggedAs	9876
138	taggedAs	9580
636	film.actor.film	7730
2819	taggedAs	21121
1202	taggedAs	11098
267	taggedAs	13647
1752	taggedAs	9494
647	taggedAs	9436
3093	taggedAs	9377
2058	taggedAs	9452
540	film.person_or_entity_appearing_in_film.film	8974
2711	film.actor.film	8849
2325	taggedAs	9380
3198	film.person_or_entity_appearing_in_film.film	4578
2895	taggedAs	17359
794	film.actor.film	4493
931	taggedAs	10729
1144	taggedAs	12116
2184	film.person_or_entity_appearing_in_film.film	6614
355	music.artist.origin	6839
2636	film.person_or_entity_appearing_in_film.film	9256
727	taggedAs	9397
279	award.nominee.award_nominations	6603
42	taggedAs	9788
7	taggedAs	12707
511	taggedAs	21156
2913	film.person_or_entity_appearing_in_film.film	3978
2128	music.artist.origin	4010
3182	film.actor.film	7155
680	taggedAs	9728
1284	music.artist.album	6591
227	taggedAs	9574
2953	taggedAs	9498
383	film.actor.film	3881
61	taggedAs	9770
436	film.actor.film	4461
969	music.artist.origin	5873
2241	film.production_company.film	6442
2635	film.person_or_entity_appearing_in_film.film	8277
157	taggedAs	9716
2084	film.person_or_entity_appearing_in_film.film	5354
331	taggedAs	9965
311	taggedAs	9389
2331	film.person_or_entity_appearing_in_film.film	5842
2205	music.artist.origin	5161
275	taggedAs	11275
3800	taggedAs	10842
877	music.artist.origin	4008
2944	film.person_or_entity_appearing_in_film.film	7366
126	taggedAs	17425
1767	film.person_or_entity_appearing_in_film.film	9166
229	taggedAs	9524
1505	film.person_or_entity_appearing_in_film.film	5404
146	taggedAs	16188
187	taggedAs	10500
3684	taggedAs	9382
790	taggedAs	9456
71	taggedAs	9466
831	music.musician.instruments_played	4349
73	taggedAs	9668
1801	music.artist.origin	7804
149	film.actor.film	6766
2340	taggedAs	9443
134	taggedAs	10187
805	taggedAs	9436
444	taggedAs	9370
1374	taggedAs	9377
1469	film.person_or_entity_appearing_in_film.film	7221
2636	film.actor.film	8113
2578	music.musician.instruments_played	5367
3509	music.artist.track	4532
1047	taggedAs	9757
2460	film.actor.film	7704
361	film.actor.film	6792
1973	people.person.profession	4221
901	film.person_or_entity_appearing_in_film.film	8044
3779	taggedAs	15057
1172	taggedAs	9533
392	film.person_or_entity_appearing_in_film.film	4792
2636	film.actor.film	5630
2452	taggedAs	9377
674	taggedAs	9710
1362	taggedAs	9439
738	taggedAs	9716
3049	film.person_or_entity_appearing_in_film.film	7294
117	taggedAs	10145
2618	taggedAs	9447
956	taggedAs	9872
75	taggedAs	9577
765	taggedAs	9437
492	film.actor.film	8089
2783	people.person.place_of_birth	3984
1467	taggedAs	9545
2635	film.person_or_entity_appearing_in_film.film	4368
54	taggedAs	9757
3307	film.person_or_entity_appearing_in_film.film	8165
1753	taggedAs	9443
258	taggedAs	10720
1047	taggedAs	9728
3455	taggedAs	17864
2293	film.person_or_entity_appearing_in_film.film	5366
60	taggedAs	17865
357	music.musician.instruments_played	6942
1889	taggedAs	13984
115	film.person_or_entity_appearing_in_film.film	7243
374	taggedAs	9494
1539	taggedAs	9437
2057	taggedAs	9445
254	taggedAs	9875
2914	film.actor.film	6697
987	taggedAs	10464
3697	taggedAs	9388
2711	film.actor.film	5264
1795	taggedAs	9382
287	people.deceased_person.place_of_death	3944
774	taggedAs	18263
159	taggedAs	10121
2993	taggedAs	10214
119	music.producer.tracks_produced	8374
224	taggedAs	13504
809	film.person_or_entity_appearing_in_film.film	9090
20	taggedAs	16158
1235	taggedAs	9443
1618	film.actor.film	4406
3484	music.artist.origin	3864
3231	film.actor.film	8460
3448	taggedAs	9551
1254	taggedAs	9466
1750	taggedAs	10088
728	taggedAs	9411
2716	taggedAs	9983
1891	film.person_or_entity_appearing_in_film.film	4060
2708	taggedAs	10203
989	taggedAs	9491
1256	taggedAs	10586
492	taggedAs	10991
68	film.person_or_entity_appearing_in_film.film	5004
490	taggedAs	11275
770	taggedAs	9466
2524	taggedAs	9892
