user	entity	weight
68	77	39
68	80	70
68	81	41
68	87	353
68	128	107
68	130	69
68	135	210
68	507	44
69	67	317
69	128	203
69	155	280
69	156	181
69	419	290
69	422	849
69	508	1429
69	509	534
69	510	520
69	511	431
69	512	396
69	513	319
69	514	305
69	515	278
69	516	237
69	517	228
69	518	226
69	519	215
69	520	177
69	521	176
70	36	386
70	46	419
70	55	302
70	60	321
70	107	196
70	295	239
70	392	1257
70	522	1202
70	523	739
70	524	722
70	525	369
70	526	314
70	527	255
70	528	210
70	529	199
70	530	179
71	42	310
71	241	148
71	242	80
71	245	569
71	250	193
71	285	724
71	531	398
71	532	254
71	533	202
71	534	165
71	535	99
71	536	79
71	537	77
72	22	2
72	66	37
72	72	2
72	74	35
72	80	8
72	98	30
72	117	6
72	127	11
72	185	26
72	254	15
72	538	16
72	539	2
72	540	1
73	13	782
73	25	403
73	28	217
73	221	366
73	257	470
73	275	557
73	331	206
73	441	149
73	446	323
73	541	1294
73	542	374
73	543	330
73	544	319
73	545	261
73	546	182
74	126	170
74	171	929
74	547	2562
74	548	1166
74	549	1042
74	550	453
74	551	214
74	552	183
74	553	174
74	554	163
74	555	162
74	556	155
74	557	155
74	558	132
74	559	121
75	47	126
75	96	853
75	102	63
75	130	82
75	133	210
75	135	143
75	171	373
75	254	69
75	374	65
75	376	119
75	560	407
75	561	107
76	93	562
76	95	676
76	99	1276
76	562	3423
76	563	1343
76	564	900
76	565	763
76	566	754
77	40	128
77	46	10867
77	105	1221
77	107	580
77	133	717
77	136	136
77	252	433
77	391	494
77	528	78
77	567	431
77	568	196
77	569	191
77	570	167
77	571	154
77	572	90
77	573	70
78	119	110
78	155	1202
78	220	101
78	314	154
78	460	363
78	574	296
78	575	262
78	576	210
78	577	201
78	578	199
78	579	132
78	580	101
78	581	98
78	582	83
79	55	17
79	75	211
79	76	355
79	79	21
79	134	305
79	206	48
79	399	3498
79	583	76
79	584	21
80	199	7
80	208	1170
80	212	1353
80	303	265
80	585	190
80	586	180
80	587	13
80	588	4
80	589	3
81	70	147
81	590	338
81	591	338
81	592	272
81	593	266
81	594	238
81	595	205
81	596	188
81	597	171
81	598	157
81	599	154
81	600	144
81	601	136
81	602	128
81	603	128
81	604	128
81	605	114
81	606	110
82	102	140
82	106	162
82	111	266
82	159	909
82	607	1087
82	608	771
82	609	612
82	610	521
82	611	347
82	612	257
82	613	230
82	614	208
82	615	198
82	616	146
82	617	127
82	618	125
82	619	115
82	620	103
82	621	102
83	36	1881
83	44	532
83	622	4449
83	623	1827
83	624	1480
83	625	1375
83	626	1315
83	627	1302
83	628	1223
83	629	1197
83	630	1181
83	631	1085
83	632	969
83	633	960
83	634	862
83	635	843
83	636	839
83	637	817
83	638	747
83	639	732
83	640	637
83	641	574
83	642	554
83	643	545
83	644	533
83	645	526
83	646	526
84	36	215
84	52	88
84	190	129
84	242	1167
84	325	75
84	347	1097
84	647	102
85	34	87
85	210	96
85	221	119
85	242	99
85	252	112
85	474	175
85	648	495
85	649	384
85	650	281
85	651	160
85	652	140
85	653	120
85	654	113
85	655	113
85	656	94
86	96	460
86	125	1275
86	208	960
86	212	597
86	213	297
86	218	386
86	220	402
86	432	230
86	657	366
86	658	341
86	659	317
87	66	34
87	74	91
87	81	53
87	87	24
87	115	25
87	127	81
87	132	62
87	185	31
87	372	38
87	660	59
87	661	35
87	662	32
88	45	42
88	48	35
88	54	5
88	111	14
88	151	4
88	159	28
88	163	9
88	453	12
88	511	94
88	614	51
88	663	61
88	664	42
88	665	28
88	666	14
88	667	12
88	668	7
88	669	5
88	670	4
89	46	736
89	47	5627
89	55	818
89	91	368
89	96	384
89	118	1337
89	127	537
89	267	1441
89	301	1039
89	303	749
89	671	738
90	133	84
90	672	189
90	673	170
90	674	122
90	675	94
91	164	3481
91	224	1104
91	275	1178
91	307	621
91	541	7662
91	546	632
91	676	3616
91	677	1776
91	678	1691
91	679	1163
91	680	1031
91	681	1005
91	682	939
91	683	765
91	684	761
91	685	701
91	686	614
91	687	489
91	688	437
91	689	425
92	72	8
92	74	9
92	80	9
92	98	12
92	184	5
92	535	18
92	690	9
92	691	7
92	692	5
92	693	5
94	53	157
94	105	377
94	111	91
94	223	164
94	516	147
94	670	178
94	695	119
94	696	85
94	697	81
95	74	35
95	77	22
95	87	50
95	118	32
95	127	57
95	134	47
95	135	116
95	184	56
95	185	449
95	206	226
95	572	26
95	698	257
95	699	125
95	700	32
96	26	16
96	52	10
96	74	11
96	81	34
96	87	31
96	133	22
96	399	17
96	701	14
96	702	14
97	46	408
97	107	209
97	165	188
97	197	1588
97	208	285
97	523	197
97	575	1551
97	610	587
97	703	2697
97	704	2351
97	705	2071
97	706	1039
97	707	926
97	708	681
97	709	239
97	710	213
97	711	179
98	16	87
98	78	54
98	80	134
98	87	71
98	127	125
98	538	60
99	45	50
99	55	323
99	96	63
99	105	56
99	112	127
99	187	115
99	354	57
99	357	48
99	445	561
99	572	177
99	708	73
100	37	279
100	55	353
100	70	72
100	133	136
100	221	261
100	354	97
100	686	64
100	712	70
101	47	1554
101	52	230
101	78	92
101	96	1010
101	102	1888
101	184	75
101	199	123
101	267	4218
101	303	2492
101	713	1470
101	714	200
102	67	290
102	154	549
102	608	295
102	670	1027
102	715	1086
102	716	851
102	717	374
102	718	372
102	719	308
103	24	56
103	46	43
103	55	23
103	96	18
103	133	61
103	275	143
103	287	144
103	445	23
103	498	35
103	720	121
103	721	36
104	42	3506
104	78	2448
104	188	4800
104	302	1849
104	305	2224
104	325	8004
104	391	1835
104	722	13426
104	723	3978
104	724	3939
104	725	3374
104	726	1879
105	155	360
105	156	285
105	196	285
105	197	116
105	198	158
105	314	523
105	460	180
105	509	177
105	519	154
105	582	197
105	689	90
105	727	308
105	728	169
105	729	105
105	730	102
105	731	99
105	732	86
105	733	84
106	102	1095
106	155	851
106	291	927
106	391	741
106	733	985
106	734	882
106	735	861
106	736	635
106	737	614
107	52	4108
107	97	1698
107	151	20000
107	242	3418
107	250	4138
107	325	2207
107	475	2647
107	545	8914
107	738	3373
107	739	2900
107	740	2060
108	7	278
108	12	675
108	34	345
108	42	785
108	315	330
108	325	267
108	393	455
108	741	1542
108	742	800
108	743	768
108	744	566
108	745	544
108	746	526
108	747	519
108	748	484
108	749	464
108	750	386
108	751	374
108	752	348
108	753	253
109	105	156
109	528	135
109	754	256
109	755	165
109	756	115
109	757	111
110	66	796
110	78	713
110	79	2279
110	87	1271
110	93	591
110	96	559
110	99	1579
110	101	2013
110	566	1214
110	758	1151
110	759	847
110	760	745
110	761	732
110	762	559
111	46	719
111	100	354
111	107	213
111	155	355
111	528	243
111	763	943
111	764	486
111	765	322
111	766	291
111	767	277
111	768	277
111	769	231
111	770	230
113	52	1570
113	96	3371
113	124	2469
113	245	2270
113	250	5530
113	285	1369
113	771	6591
113	772	2367
113	773	1701
113	774	1646
113	775	832
113	776	756
114	36	542
114	40	52
114	105	25
114	191	250
114	777	73
115	774	3
115	778	10
115	779	3
115	780	3
115	781	2
115	782	2
115	783	2
115	784	2
115	785	1
115	786	1
115	787	1
115	788	1
116	62	813
116	128	333
116	157	321
116	418	321
116	419	145
116	507	132
116	601	390
116	789	1184
116	790	771
116	791	480
116	792	438
116	793	400
116	794	387
116	795	253
116	796	172
116	797	161
117	28	641
117	96	223
117	116	196
117	191	1448
117	257	264
117	259	233
117	499	477
117	542	357
117	798	365
117	799	267
118	96	255
118	216	730
118	477	645
118	493	335
118	800	621
118	801	294
118	802	222
119	34	452
119	42	2356
119	209	122
119	211	486
119	242	594
119	245	621
119	285	157
119	289	247
119	459	171
119	531	3287
119	588	172
119	655	138
119	803	271
119	804	260
119	805	147
119	806	123
119	807	123
120	81	16
120	96	503
120	118	23
120	135	19
120	137	16
120	270	126
120	352	22
120	377	475
120	399	320
120	808	53
120	809	19
121	96	500
121	126	200
121	134	49
121	171	57
121	364	177
121	560	65
122	148	14
122	150	19
122	160	13
122	810	22
122	811	21
122	812	20
122	813	19
122	814	16
122	815	15
122	816	14
122	817	13
122	818	13
122	819	13
122	820	13
123	24	324
123	111	454
123	119	432
123	187	960
123	199	2643
123	208	2439
123	210	446
123	361	574
123	528	388
123	703	1198
123	708	689
123	767	1223
123	821	3406
123	822	1339
123	823	713
123	824	475
123	825	392
123	826	333
123	827	322
124	96	764
124	100	1579
124	118	189
124	119	77
124	133	85
124	445	1080
124	476	101
124	493	557
125	96	115
125	133	117
125	828	529
125	829	80
126	41	281
126	63	133
126	79	282
126	80	99
126	115	121
126	118	263
126	188	99
126	830	837
126	831	440
126	832	129
127	118	370
127	504	1718
127	754	526
127	756	512
127	833	1597
127	834	721
127	835	466
127	836	398
128	48	1223
128	114	3379
128	159	1517
128	252	532
128	542	752
128	715	1003
128	837	2445
128	838	1071
128	839	739
128	840	355
129	66	90
129	72	608
129	79	195
129	91	1278
129	104	79
129	127	85
129	137	242
129	185	139
129	237	280
129	254	237
129	377	75
129	378	884
129	841	92
129	842	78
130	66	154
130	75	73
130	87	120
130	91	855
130	127	101
130	131	248
130	132	141
130	237	82
130	254	700
130	372	108
130	373	133
130	378	678
131	309	113
131	510	84
131	597	110
131	843	353
131	844	342
131	845	294
131	846	128
131	847	108
131	848	106
131	849	97
131	850	93
131	851	93
131	852	93
131	853	87
131	854	87
131	855	85
131	856	76
132	74	10085
132	79	449
132	87	331
132	127	98
132	130	66
132	131	81
132	134	181
132	135	112
132	184	228
132	185	2238
132	206	457
132	261	99
132	376	64
133	75	116
133	79	146
133	81	75
133	87	377
133	118	105
133	130	223
133	135	193
133	171	272
133	184	178
133	206	198
133	254	118
133	364	99
133	377	87
134	73	575
134	77	156
134	79	77
134	87	36
134	98	65
134	135	143
134	185	662
134	254	27
134	261	44
134	373	165
134	374	338
134	698	362
135	0	1021
135	4	488
135	13	603
135	72	559
135	98	594
135	126	1736
135	185	493
135	237	1059
135	254	1261
135	334	6766
135	446	540
135	857	1683
135	858	825
135	859	746
135	860	526
135	861	514
136	74	330
136	79	258
136	80	145
136	87	409
136	98	193
136	115	151
136	132	110
136	133	618
136	377	376
136	539	113
136	862	132
137	22	1569
137	24	409
137	61	2213
137	127	529
137	399	320
137	472	1241
137	863	1014
137	864	502
139	55	142
139	96	168
139	118	329
139	119	1090
139	126	158
139	242	816
139	427	310
139	870	1535
139	871	384
139	872	367
139	873	256
139	874	134
140	46	1058
140	48	400
140	54	465
140	57	504
140	105	874
140	154	611
140	159	716
140	293	751
140	516	436
140	875	3376
140	876	1272
140	877	561
140	878	523
141	36	36
141	221	243
141	450	194
141	879	544
141	880	47
141	881	43
142	161	128
142	227	122
142	257	178
142	277	498
142	307	173
142	617	59
142	686	83
142	799	69
142	882	237
142	883	207
142	884	158
142	885	146
142	886	114
142	887	87
142	888	66
142	889	57
142	890	53
142	891	50
143	90	1179
143	191	2542
143	892	1634
143	893	1308
143	894	977
143	895	937
143	896	934
144	77	49
144	80	39
144	81	25
144	87	77
144	127	25
144	897	49
144	898	34
144	899	30
145	45	407
145	75	469
145	76	659
145	78	321
145	115	495
145	137	1351
145	267	347
145	389	539
145	777	1564
145	832	1043
145	900	343
146	75	187
146	79	312
146	87	1437
146	98	919
146	135	223
146	373	231
146	566	491
146	758	782
146	759	551
147	47	1105
147	74	313
147	79	1993
147	87	677
147	127	424
147	133	172
147	134	947
147	237	226
147	254	228
147	901	1586
147	902	1346
148	109	336
148	157	227
148	165	195
148	286	214
148	361	282
148	508	298
148	733	288
148	903	947
148	904	833
148	905	352
148	906	280
148	907	259
148	908	240
148	909	236
148	910	223
148	911	212
148	912	200
148	913	183
148	914	164
149	109	434
149	118	491
149	126	260
149	254	1110
149	699	358
149	772	878
149	915	1559
150	66	190
150	79	76
150	87	52
150	171	55
150	377	77
150	699	45
150	916	56
150	917	40
151	41	135
151	45	70
151	80	196
151	134	80
151	188	351
151	560	148
151	699	184
151	917	97
151	918	61
152	46	557
152	52	565
152	78	345
152	79	344
152	102	985
152	206	128
152	772	139
152	919	269
152	920	225
152	921	140
152	922	138
152	923	122
153	27	159
153	35	268
153	42	151
153	43	1016
153	54	147
153	55	141
153	104	149
153	126	201
153	293	495
153	655	125
153	756	113
153	924	235
153	925	206
153	926	181
153	927	153
153	928	148
153	929	119
153	930	111
154	7	13
154	8	13
154	17	25
154	47	12
154	102	12
154	118	21
154	126	16
154	242	45
154	302	11
154	564	23
154	871	13
154	931	12
155	277	2496
155	932	4062
155	933	3040
155	934	2808
155	935	2635
155	936	2371
155	937	1791
155	938	1384
155	939	1067
155	940	893
155	941	879
155	942	723
155	943	638
155	944	607
155	945	592
156	36	530
156	37	7
156	46	2308
156	52	4
156	109	121
156	133	6
156	391	10
156	946	7
157	36	92
157	55	445
157	805	69
157	947	116
157	948	107
157	949	68
158	75	171
158	79	204
158	90	252
158	98	331
158	137	329
158	184	155
158	185	212
158	206	346
158	238	477
158	373	176
158	832	265
158	900	220
158	950	931
158	951	317
158	952	219
158	953	203
158	954	143
158	955	110
159	24	2016
159	27	917
159	43	1333
159	52	559
159	66	769
159	72	2094
159	74	3131
159	81	496
159	96	1873
159	116	3304
159	137	584
159	237	458
159	268	1841
159	352	1387
159	385	3529
159	956	1433
159	957	964
161	17	1048
161	100	2169
161	211	2031
161	654	1131
161	835	1208
161	870	2368
161	968	4657
161	969	4133
161	970	2590
161	971	1248
161	972	1110
161	973	1073
161	974	1068
161	975	1031
162	79	180
162	134	207
162	472	199
162	721	694
162	863	251
162	900	171
162	976	646
162	977	557
162	978	287
163	232	214
163	377	541
163	674	235
163	979	769
163	980	526
163	981	366
163	982	342
163	983	338
163	984	292
163	985	258
163	986	215
163	987	209
163	988	205
164	34	13706
164	42	1917
164	45	8072
164	154	4141
164	159	980
164	286	1806
164	495	8850
164	989	1376
164	990	1254
166	44	202
166	54	371
166	221	619
166	475	86
166	527	74
166	529	138
166	879	961
166	997	172
166	998	128
166	999	122
166	1000	72
168	111	2145
168	159	313
168	163	905
168	187	353
168	196	649
168	422	265
168	508	1178
168	509	1676
168	513	318
168	516	846
168	517	281
168	708	288
168	1003	481
168	1004	471
168	1005	338
168	1006	287
168	1007	275
168	1008	225
168	1009	207
168	1010	198
170	199	679
170	220	1407
170	242	1344
170	393	452
170	401	1150
170	481	849
170	654	573
170	1012	1234
170	1013	659
171	46	398
171	52	46
171	55	96
171	57	98
171	102	55
171	111	102
171	133	80
171	136	198
171	187	77
171	199	54
171	413	66
171	572	133
171	708	195
172	36	929
172	46	216
172	55	664
172	72	442
172	105	241
172	107	229
172	119	468
172	187	326
172	190	221
172	199	236
172	356	605
172	357	194
172	361	439
172	608	388
172	765	318
172	1014	287
172	1015	198
173	36	248
173	46	291
173	102	179
173	105	970
173	109	187
173	188	310
173	302	271
173	918	287
173	1016	294
174	41	137
174	45	195
174	52	234
174	1017	193
174	1018	92
174	1019	80
175	66	2289
175	377	4494
175	473	917
175	674	4458
175	979	745
176	16	543
176	54	1165
176	55	812
176	105	205
176	107	185
176	111	247
176	196	459
176	498	325
176	799	229
176	878	989
176	1020	576
177	34	935
177	36	2022
177	42	2208
177	52	615
177	100	2026
177	109	2577
177	245	465
177	250	672
177	285	654
177	289	511
177	362	652
177	507	970
177	654	449
177	657	749
177	930	861
177	1021	734
178	42	1110
178	211	340
178	217	613
178	289	1283
178	395	264
178	531	630
178	655	397
178	740	803
178	774	350
178	879	482
178	941	459
178	945	309
178	996	388
178	1022	1132
178	1023	283
178	1024	268
179	89	94
179	96	2271
179	118	58
179	528	180
179	765	181
179	808	170
179	1025	492
179	1026	257
180	35	73
180	197	20
180	308	29
180	928	18
180	1027	64
180	1028	40
180	1029	33
180	1030	22
180	1031	20
180	1032	18
180	1033	18
180	1034	18
181	60	620
181	476	80
181	477	1810
182	548	424
182	893	516
182	1035	1041
182	1036	481
182	1037	437
182	1038	386
182	1039	375
182	1040	319
182	1041	299
182	1042	285
182	1043	225
182	1044	225
183	36	374
183	52	261
183	145	118
183	252	134
183	277	182
183	286	138
183	354	123
183	445	161
183	883	500
183	1045	419
183	1046	373
183	1047	247
184	24	242
184	34	110
184	36	98
184	104	369
184	126	114
184	883	233
184	1048	355
184	1049	270
184	1050	122
184	1051	85
185	24	24
185	118	42
185	221	94
185	257	30
185	271	45
185	650	127
185	1052	289
185	1053	252
185	1054	172
185	1055	67
185	1056	34
185	1057	27
185	1058	25
185	1059	24
185	1060	22
186	52	9
186	96	74
186	102	9
186	126	301
186	127	63
186	184	10
186	376	46
186	714	21
186	772	27
186	841	184
186	1025	34
186	1061	15
187	23	246
187	28	391
187	34	2114
187	36	1234
187	191	721
187	257	545
187	483	245
187	498	962
187	879	2838
187	1057	195
187	1062	676
189	96	1769
189	109	417
189	118	1575
189	119	258
189	125	313
189	210	588
189	221	399
189	286	888
189	712	620
189	989	460
189	1063	334
190	276	21711
190	798	711
190	1064	9186
190	1065	3295
190	1066	1182
190	1067	773
190	1068	626
190	1069	522
190	1070	488
190	1071	437
191	20	28
191	37	13
191	52	23
191	245	16
191	332	13
191	445	107
191	474	16
191	956	16
191	1072	36
191	1073	15
191	1074	13
192	35	86
192	1075	5427
192	1076	85
192	1077	8
193	24	860
193	36	5007
193	131	337
193	137	469
193	357	912
193	852	1076
193	1078	2919
193	1079	1087
193	1080	1067
193	1081	527
193	1082	405
193	1083	376
193	1084	313
194	22	597
194	36	2138
194	56	3367
194	223	2108
194	456	1144
194	462	930
194	474	627
194	854	700
194	1039	1571
194	1085	5547
194	1086	1037
194	1087	544
195	36	47
195	52	11
195	105	31
195	141	71
195	151	36
195	388	242
195	1088	460
195	1089	57
195	1090	36
195	1091	21
196	46	3348
196	52	626
196	105	3523
196	109	711
196	110	503
196	118	653
196	133	668
196	190	969
196	293	406
196	523	1416
196	765	1246
196	1092	627
196	1093	561
198	46	582
198	124	493
198	210	485
198	212	1002
198	219	570
198	286	1276
198	325	1407
198	770	464
198	776	1928
198	823	549
198	1096	824
198	1097	709
198	1098	658
198	1099	501
200	30	342
200	36	286
200	55	336
200	191	348
200	357	197
200	442	244
200	1105	1556
200	1106	203
200	1107	128
200	1108	125
201	126	130
201	252	124
201	300	117
201	555	68
201	1109	131
201	1110	75
201	1111	71
201	1112	68
201	1113	66
201	1114	64
202	217	88
202	219	465
202	242	248
202	446	210
202	505	258
202	740	137
202	1115	329
202	1116	167
202	1117	120
202	1118	111
203	118	733
203	208	38
203	214	142
203	215	51
203	303	77
203	776	50
203	1119	112
203	1120	84
203	1121	51
203	1122	48
203	1123	48
204	219	380
204	305	238
204	1015	1652
204	1124	837
204	1125	646
204	1126	427
204	1127	349
204	1128	271
204	1129	268
204	1130	240
204	1131	180
204	1132	159
204	1133	147
204	1134	137
204	1135	122
205	47	1161
205	97	660
