user	relation	tag
638	friendWith	851
1718	createdTag	3174
439	createdTag	5342
761	createdTag	2295
49	friendWith	1071
439	createdTag	3523
470	friendWith	1298
1965	friendWith	691
1914	createdTag	2545
241	createdTag	2107
1479	createdTag	2105
1670	friendWith	763
895	createdTag	2175
2003	friendWith	40
5	friendWith	1271
1585	createdTag	2205
1743	friendWith	1825
2020	friendWith	494
104	createdTag	2181
1318	friendWith	414
332	friendWith	998
79	createdTag	2183
443	createdTag	5677
468	friendWith	2039
267	createdTag	2234
1636	friendWith	1304
440	createdTag	2291
1057	friendWith	1528
2099	createdTag	2858
513	createdTag	2234
1515	friendWith	437
646	createdTag	2332
110	friendWith	2061
1349	createdTag	2118
1174	friendWith	640
1471	friendWith	158
410	friendWith	1052
1656	createdTag	2181
862	friendWith	1189
439	createdTag	5652
675	friendWith	1453
612	friendWith	2088
192	createdTag	2114
278	friendWith	1606
1912	createdTag	2223
812	createdTag	2419
1428	createdTag	2295
1666	friendWith	911
440	friendWith	1975
494	createdTag	3312
982	friendWith	307
1556	friendWith	743
236	friendWith	1113
1473	friendWith	1380
1700	friendWith	2016
1248	friendWith	1517
942	friendWith	862
1132	friendWith	1184
339	friendWith	1821
812	createdTag	2277
1821	friendWith	675
229	createdTag	2279
521	friendWith	1584
1684	friendWith	1146
1311	friendWith	340
871	friendWith	343
339	friendWith	1057
1486	createdTag	2277
862	friendWith	1381
2006	friendWith	848
1725	friendWith	486
1067	friendWith	1792
421	friendWith	2029
1661	createdTag	2118
919	createdTag	2118
1824	createdTag	6240
1263	friendWith	1069
388	friendWith	457
62	createdTag	2925
1144	friendWith	1662
1869	friendWith	859
355	friendWith	2020
439	createdTag	2470
395	createdTag	2532
1777	friendWith	714
955	createdTag	2125
1488	friendWith	1924
406	createdTag	2487
459	createdTag	2385
1803	friendWith	472
385	friendWith	1457
625	createdTag	2184
704	friendWith	53
1023	friendWith	1453
846	createdTag	2161
1560	friendWith	518
1040	createdTag	2173
1457	friendWith	1820
205	createdTag	2227
621	friendWith	1773
79	friendWith	232
836	friendWith	355
33	friendWith	282
1850	createdTag	2310
1863	friendWith	1189
62	createdTag	2944
311	friendWith	1071
1894	createdTag	2203
651	createdTag	2124
133	friendWith	497
2066	createdTag	2675
606	createdTag	2121
1702	friendWith	1889
911	friendWith	503
1726	friendWith	1821
142	friendWith	1393
1053	friendWith	1332
256	friendWith	1017
898	friendWith	24
831	friendWith	1094
1766	friendWith	310
1365	friendWith	46
1491	friendWith	1616
1475	friendWith	1811
256	friendWith	1263
479	friendWith	534
1342	createdTag	2485
371	friendWith	767
1082	friendWith	2088
979	createdTag	2101
1929	friendWith	604
454	friendWith	1879
1308	friendWith	417
1089	friendWith	325
1851	createdTag	2830
1926	createdTag	2113
571	friendWith	1652
2051	friendWith	1211
1841	friendWith	325
922	createdTag	2626
302	friendWith	1803
795	friendWith	701
772	createdTag	2643
501	friendWith	361
473	friendWith	472
698	createdTag	2173
1553	createdTag	2114
1433	createdTag	2184
527	friendWith	2037
111	friendWith	603
1278	friendWith	1300
439	createdTag	5636
405	friendWith	1590
549	friendWith	492
916	createdTag	2124
469	createdTag	2176
575	friendWith	534
318	friendWith	231
1907	createdTag	2205
587	createdTag	2101
831	friendWith	788
132	friendWith	1821
2080	friendWith	1800
380	friendWith	621
378	friendWith	405
198	friendWith	1971
117	friendWith	1514
576	friendWith	1210
1258	friendWith	835
1785	createdTag	2120
1741	friendWith	414
1785	friendWith	152
1173	friendWith	1130
1898	createdTag	2914
1690	createdTag	2139
743	createdTag	2244
1958	createdTag	2174
1356	createdTag	2149
1423	friendWith	150
211	friendWith	1496
1832	createdTag	2334
1486	createdTag	2181
1568	friendWith	1829
612	friendWith	417
118	friendWith	1935
310	createdTag	2880
14	createdTag	2342
1883	friendWith	73
488	createdTag	5934
1993	friendWith	15
419	friendWith	503
1001	friendWith	571
141	friendWith	714
805	friendWith	1557
1690	friendWith	329
531	friendWith	930
1052	createdTag	3638
1301	friendWith	1300
984	friendWith	311
1007	createdTag	2293
434	friendWith	1617
96	friendWith	1670
318	friendWith	1762
437	friendWith	1525
2	createdTag	2118
1797	friendWith	195
608	createdTag	2347
919	createdTag	2375
1369	friendWith	46
964	createdTag	2282
62	createdTag	2121
1869	friendWith	413
1989	createdTag	5375
1017	friendWith	691
1376	friendWith	681
1347	friendWith	642
396	friendWith	2024
340	friendWith	795
1809	friendWith	285
565	friendWith	1541
1543	friendWith	856
914	createdTag	2485
190	createdTag	4073
1380	createdTag	2179
723	friendWith	79
1135	friendWith	1742
1925	createdTag	2385
1635	friendWith	59
608	friendWith	14
1895	friendWith	1543
1832	createdTag	2184
732	friendWith	46
1822	createdTag	2281
1503	friendWith	43
1908	friendWith	1838
336	createdTag	2173
645	createdTag	3727
1253	friendWith	966
1421	friendWith	1235
1125	friendWith	454
836	friendWith	581
941	friendWith	674
581	friendWith	1092
1660	friendWith	1755
922	friendWith	266
1346	createdTag	2209
297	createdTag	2396
1600	friendWith	906
682	friendWith	145
146	friendWith	1564
1636	friendWith	1058
439	createdTag	5660
538	friendWith	1659
455	friendWith	1393
481	friendWith	785
324	createdTag	2101
1469	friendWith	47
1261	friendWith	1006
1402	createdTag	2830
851	friendWith	329
697	createdTag	2113
919	createdTag	2287
514	friendWith	1749
1709	friendWith	292
1567	friendWith	691
1603	friendWith	1924
101	friendWith	57
198	friendWith	1067
1173	friendWith	1164
1597	friendWith	162
1119	friendWith	1664
814	friendWith	481
1895	friendWith	815
84	createdTag	2532
283	createdTag	2121
702	friendWith	1535
1670	friendWith	731
1198	friendWith	150
172	friendWith	198
1851	createdTag	2313
63	createdTag	2188
310	friendWith	1001
146	friendWith	227
1851	createdTag	2332
380	createdTag	2230
317	createdTag	2452
1234	createdTag	2406
1213	friendWith	1220
1662	createdTag	3468
706	friendWith	2060
232	friendWith	638
1995	createdTag	2476
1742	friendWith	1517
1832	friendWith	1198
162	friendWith	1445
312	friendWith	1706
621	friendWith	726
104	friendWith	558
797	friendWith	682
98	friendWith	701
361	friendWith	638
686	createdTag	2295
917	friendWith	966
236	friendWith	1869
1002	friendWith	7
1679	createdTag	2675
541	createdTag	2929
1081	createdTag	2179
2003	createdTag	2146
2055	friendWith	142
1895	friendWith	2037
292	friendWith	1595
1008	createdTag	2184
1674	friendWith	46
271	friendWith	1104
1879	createdTag	2487
1293	friendWith	388
1304	friendWith	795
1789	friendWith	1883
1826	createdTag	2700
1133	friendWith	1124
539	friendWith	210
439	createdTag	5649
773	friendWith	1352
195	friendWith	1627
1455	createdTag	2124
1445	friendWith	861
1832	createdTag	2385
572	friendWith	795
593	friendWith	1446
1499	friendWith	296
1275	createdTag	2181
1832	createdTag	2181
850	friendWith	1541
1511	createdTag	5607
851	friendWith	487
403	createdTag	3638
812	friendWith	2069
440	createdTag	2133
1795	friendWith	1605
87	friendWith	691
322	friendWith	1954
677	friendWith	1393
1905	friendWith	934
227	createdTag	2139
1666	friendWith	819
655	friendWith	128
223	friendWith	145
1120	friendWith	915
1891	friendWith	20
545	createdTag	2406
236	friendWith	911
439	createdTag	5342
545	friendWith	333
1027	friendWith	1725
1156	friendWith	1924
1179	friendWith	1104
436	createdTag	5148
437	friendWith	1567
361	friendWith	1895
252	friendWith	16
730	friendWith	684
1377	friendWith	1237
1053	friendWith	797
1087	friendWith	328
439	createdTag	5639
994	createdTag	2415
1230	createdTag	2291
1088	friendWith	298
2096	createdTag	6240
2036	friendWith	2016
266	friendWith	1146
558	friendWith	660
1811	friendWith	1475
283	createdTag	2115
1965	createdTag	2202
555	friendWith	1811
815	friendWith	1471
941	friendWith	730
1530	friendWith	1809
1277	friendWith	1581
1832	createdTag	2179
581	createdTag	3452
1832	createdTag	2899
692	friendWith	471
1700	createdTag	12637
1625	createdTag	2113
1938	createdTag	2328
669	friendWith	998
534	friendWith	1165
1564	friendWith	470
2099	createdTag	2113
1072	friendWith	2039
1277	createdTag	2178
227	createdTag	2334
504	friendWith	348
1104	friendWith	1253
645	friendWith	1625
58	friendWith	2004
604	createdTag	2124
430	friendWith	714
1324	createdTag	2126
670	friendWith	789
749	friendWith	659
396	friendWith	1431
1757	friendWith	409
996	createdTag	2399
1423	createdTag	2670
137	friendWith	1910
1827	friendWith	78
2068	friendWith	2039
1277	createdTag	2173
340	friendWith	1033
235	createdTag	2715
66	createdTag	2991
405	friendWith	1135
256	friendWith	1247
681	createdTag	2239
1137	createdTag	2411
164	createdTag	2181
136	createdTag	2328
256	friendWith	1300
2048	friendWith	1249
1120	friendWith	1420
1880	friendWith	911
241	friendWith	1758
1490	friendWith	1493
1319	friendWith	1042
183	friendWith	779
1752	friendWith	1690
795	friendWith	911
498	friendWith	1577
545	createdTag	2203
171	createdTag	2118
2088	friendWith	127
1125	friendWith	1679
604	createdTag	2124
1274	friendWith	2048
1380	createdTag	2269
1304	createdTag	2456
592	friendWith	479
215	friendWith	1358
1614	friendWith	1450
922	createdTag	2330
439	createdTag	5651
1033	friendWith	1247
1281	friendWith	1841
120	friendWith	646
1832	createdTag	2762
158	friendWith	1423
85	createdTag	2173
177	createdTag	2487
177	friendWith	343
1922	friendWith	1333
1445	createdTag	2762
994	createdTag	2125
1773	friendWith	2068
2066	createdTag	2128
1184	friendWith	271
2014	friendWith	1210
1410	friendWith	1568
1606	friendWith	667
859	friendWith	852
120	friendWith	2054
1646	friendWith	298
1283	friendWith	419
1065	friendWith	1071
1851	createdTag	2313
553	friendWith	179
336	createdTag	2230
1156	createdTag	2114
1491	friendWith	1198
1346	createdTag	2124
1354	friendWith	1527
1543	friendWith	1664
162	friendWith	307
486	friendWith	258
403	friendWith	1825
1249	createdTag	2161
779	createdTag	2670
12	createdTag	2189
1179	createdTag	2486
369	friendWith	1969
1249	createdTag	9965
414	friendWith	79
430	friendWith	656
817	createdTag	2269
470	friendWith	518
1366	createdTag	2837
1283	friendWith	831
1470	friendWith	990
1605	friendWith	1813
145	friendWith	1143
385	friendWith	717
24	friendWith	804
1046	friendWith	1895
529	createdTag	2292
1869	friendWith	306
1244	friendWith	142
353	friendWith	236
1950	friendWith	1793
439	createdTag	5660
1433	createdTag	2234
1579	createdTag	2181
1760	createdTag	2495
1042	friendWith	1319
2030	createdTag	2113
172	friendWith	1706
497	friendWith	930
1432	createdTag	2489
488	createdTag	2127
1295	createdTag	10492
1704	createdTag	2295
1563	friendWith	49
749	friendWith	248
1646	friendWith	75
1034	friendWith	486
297	createdTag	2857
1281	friendWith	362
1907	createdTag	2113
1895	createdTag	2173
922	createdTag	2230
1545	createdTag	2793
1757	createdTag	2581
302	friendWith	808
1525	friendWith	1369
1393	friendWith	566
1132	friendWith	1308
955	createdTag	2310
355	friendWith	2068
698	createdTag	2291
392	createdTag	2924
1850	createdTag	3958
1517	friendWith	490
1898	friendWith	930
1871	friendWith	819
236	createdTag	2334
431	friendWith	300
1682	friendWith	1196
1151	createdTag	2179
1433	createdTag	2813
941	friendWith	1198
473	createdTag	2124
414	friendWith	589
132	friendWith	2018
66	createdTag	2989
812	createdTag	2476
553	friendWith	1954
1498	friendWith	312
1582	createdTag	2334
2067	createdTag	2476
1445	friendWith	632
46	friendWith	318
761	createdTag	2125
1247	friendWith	2059
39	friendWith	1543
1708	createdTag	2375
1543	friendWith	39
1055	createdTag	2487
1465	friendWith	136
905	createdTag	2124
232	friendWith	1491
440	createdTag	2181
409	friendWith	1568
1914	createdTag	2452
1683	friendWith	147
730	friendWith	499
709	createdTag	2509
2069	friendWith	1009
248	createdTag	2819
439	createdTag	5639
685	createdTag	2292
1869	friendWith	474
691	friendWith	660
941	friendWith	414
919	createdTag	2133
1151	createdTag	2173
1973	friendWith	1451
910	friendWith	400
744	createdTag	2486
1132	friendWith	1773
59	createdTag	2291
302	friendWith	1071
2058	friendWith	651
1128	createdTag	2124
697	createdTag	7044
1496	friendWith	577
499	createdTag	2338
1458	friendWith	299
1811	createdTag	2139
604	friendWith	1540
1179	friendWith	501
1038	friendWith	791
49	friendWith	1563
4	createdTag	2113
66	createdTag	2999
340	friendWith	1600
849	createdTag	2345
494	createdTag	2385
70	friendWith	789
1177	createdTag	2283
922	createdTag	2295
1380	friendWith	1196
1403	friendWith	1153
439	createdTag	2192
1909	friendWith	2037
247	friendWith	884
1300	friendWith	338
1532	friendWith	298
1283	friendWith	1489
1816	createdTag	2234
1220	createdTag	2118
129	friendWith	1445
231	friendWith	179
1419	friendWith	215
1072	friendWith	355
1704	friendWith	417
1947	createdTag	2179
914	friendWith	874
340	friendWith	873
47	createdTag	2408
859	friendWith	474
930	friendWith	1678
1308	friendWith	2041
1380	createdTag	2489
1606	friendWith	717
1027	friendWith	1033
1801	friendWith	500
1508	friendWith	1565
196	createdTag	2116
340	friendWith	236
322	friendWith	1662
1906	friendWith	337
1425	friendWith	758
1249	createdTag	2282
1017	friendWith	1616
1247	friendWith	233
1755	friendWith	1660
843	createdTag	2365
1663	friendWith	1811
521	friendWith	1879
1832	createdTag	2762
396	friendWith	520
1279	createdTag	2181
1184	friendWith	635
225	createdTag	2118
499	friendWith	99
152	createdTag	2306
1873	friendWith	361
670	createdTag	2489
62	createdTag	2121
1184	friendWith	2020
1882	createdTag	2220
514	friendWith	98
1126	createdTag	6070
1600	friendWith	1828
1010	friendWith	831
692	createdTag	4706
940	createdTag	3035
994	createdTag	3837
859	friendWith	1724
49	friendWith	413
1204	friendWith	250
1989	createdTag	2120
1033	friendWith	690
1951	createdTag	13977
370	createdTag	2173
743	createdTag	7317
596	createdTag	2161
1440	createdTag	2230
1478	friendWith	1255
738	friendWith	188
720	createdTag	2487
228	friendWith	725
1880	friendWith	1413
439	createdTag	4011
1874	createdTag	13569
470	createdTag	2230
1785	friendWith	383
1820	friendWith	12
336	createdTag	2385
643	createdTag	2114
834	friendWith	1867
1776	friendWith	797
1632	friendWith	1457
162	friendWith	1552
659	friendWith	1072
795	friendWith	2061
476	friendWith	211
188	friendWith	738
1931	createdTag	2114
1832	friendWith	125
1135	friendWith	1304
1258	friendWith	1905
659	createdTag	2179
1308	friendWith	1838
797	friendWith	1369
1006	friendWith	723
1410	friendWith	43
1501	createdTag	2280
1253	friendWith	45
113	friendWith	107
562	createdTag	2939
1907	createdTag	3174
143	friendWith	938
1357	friendWith	14
41	friendWith	84
1437	friendWith	136
2037	friendWith	1979
1995	createdTag	2282
124	createdTag	2118
1478	friendWith	1590
708	friendWith	1313
762	friendWith	31
1619	friendWith	1488
124	friendWith	275
332	friendWith	749
698	createdTag	5161
847	friendWith	1113
1579	createdTag	2173
1247	friendWith	1143
446	friendWith	1777
318	friendWith	383
202	friendWith	388
798	createdTag	2191
1670	friendWith	1281
1874	createdTag	2202
815	friendWith	689
732	friendWith	413
1193	friendWith	1543
179	friendWith	1001
1850	createdTag	2227
352	friendWith	390
398	friendWith	864
1346	friendWith	638
1258	friendWith	1213
1898	friendWith	1343
79	friendWith	414
1156	createdTag	2179
611	friendWith	1883
1058	friendWith	1373
1056	friendWith	1451
1962	createdTag	2142
1148	friendWith	1345
1664	createdTag	2486
1898	createdTag	6240
1255	friendWith	767
486	friendWith	310
730	friendWith	129
1234	createdTag	2447
1247	friendWith	910
1032	createdTag	2353
1785	friendWith	787
548	createdTag	2893
1116	friendWith	1969
1850	friendWith	1102
4	friendWith	1103
941	friendWith	1503
145	friendWith	1961
193	friendWith	1691
643	createdTag	2124
1120	friendWith	1804
59	friendWith	499
925	friendWith	508
1304	friendWith	691
1492	createdTag	2173
118	createdTag	2280
996	createdTag	8676
999	createdTag	2105
417	friendWith	179
1075	friendWith	1532
1965	friendWith	571
972	createdTag	8545
405	createdTag	2725
66	createdTag	2987
84	createdTag	2105
1766	friendWith	1365
1281	friendWith	1741
162	friendWith	1188
321	friendWith	550
1672	createdTag	2857
723	friendWith	2087
1177	createdTag	9744
1343	friendWith	809
134	friendWith	226
966	friendWith	965
2038	friendWith	503
822	createdTag	4283
252	createdTag	2295
1202	createdTag	3547
717	friendWith	2088
1356	friendWith	49
1779	createdTag	2294
497	friendWith	809
2042	friendWith	1823
954	createdTag	2139
40	createdTag	2186
538	friendWith	646
647	friendWith	1125
1820	friendWith	179
1020	createdTag	2277
16	friendWith	815
144	friendWith	322
123	friendWith	655
2042	friendWith	202
310	friendWith	2059
1002	friendWith	498
1113	friendWith	1525
732	friendWith	1171
1906	friendWith	1597
1792	friendWith	489
1889	createdTag	2292
1296	friendWith	153
614	createdTag	2285
1440	createdTag	2452
1466	createdTag	2446
117	createdTag	2173
593	friendWith	768
1941	createdTag	2824
1135	friendWith	1294
405	createdTag	2740
518	friendWith	48
78	friendWith	729
1975	createdTag	2118
370	friendWith	1281
904	createdTag	2487
577	friendWith	1728
2048	friendWith	122
526	friendWith	1627
851	friendWith	1381
1104	friendWith	1965
283	createdTag	2926
1365	friendWith	1607
770	friendWith	1856
1628	friendWith	145
1120	friendWith	2037
753	friendWith	1283
439	createdTag	5634
625	createdTag	2493
922	createdTag	2133
922	createdTag	2113
1004	createdTag	2139
1347	friendWith	1224
1517	createdTag	2267
1466	friendWith	25
1313	createdTag	2147
1089	friendWith	762
349	friendWith	1743
985	friendWith	413
1156	createdTag	2113
941	friendWith	1600
1327	friendWith	2
1600	friendWith	723
1600	friendWith	1593
1543	friendWith	317
62	friendWith	1213
852	friendWith	1455
1616	friendWith	531
1102	friendWith	572
1283	createdTag	3771
174	friendWith	320
831	friendWith	795
2068	friendWith	16
253	friendWith	1226
1975	friendWith	3
1032	createdTag	2929
671	friendWith	1057
701	friendWith	1659
112	friendWith	611
1183	friendWith	1088
579	createdTag	2105
136	friendWith	1001
1811	friendWith	938
670	createdTag	2181
725	friendWith	1242
876	createdTag	2487
2016	createdTag	2133
31	createdTag	2174
1253	friendWith	132
1343	friendWith	1785
2100	createdTag	2104
742	friendWith	621
77	createdTag	2221
421	friendWith	150
2068	friendWith	2069
9	createdTag	2173
1277	friendWith	631
133	friendWith	214
195	friendWith	1275
1981	createdTag	2181
1679	createdTag	2186
1691	friendWith	1164
110	friendWith	713
739	friendWith	645
1237	friendWith	317
470	createdTag	2306
2061	friendWith	621
58	friendWith	400
859	createdTag	4908
1963	createdTag	2446
1086	friendWith	1247
66	createdTag	2989
2076	friendWith	1535
400	friendWith	1300
236	createdTag	2939
12	createdTag	2101
643	createdTag	2173
1568	friendWith	569
433	createdTag	2173
143	friendWith	1088
1104	friendWith	271
877	friendWith	1531
1258	friendWith	1281
1258	friendWith	143
421	friendWith	722
951	friendWith	325
236	friendWith	1319
1455	friendWith	501
47	createdTag	2505
1113	friendWith	110
1954	friendWith	1503
1011	friendWith	1895
1547	createdTag	11923
751	friendWith	1308
691	friendWith	572
1074	friendWith	1478
33	friendWith	845
859	friendWith	575
1004	friendWith	1719
2069	createdTag	2762
330	friendWith	1788
1358	createdTag	2101
1004	createdTag	8729
2019	createdTag	2837
1230	friendWith	124
171	createdTag	2173
917	friendWith	1381
2068	friendWith	1828
12	friendWith	11
302	createdTag	2306
1728	friendWith	266
1198	friendWith	310
621	friendWith	910
205	createdTag	2121
876	friendWith	1249
16	friendWith	1895
1433	friendWith	1457
1108	createdTag	9356
1444	friendWith	1160
460	friendWith	1054
859	friendWith	1343
1700	createdTag	4625
2091	friendWith	1948
122	friendWith	876
1917	friendWith	355
801	friendWith	1189
1848	createdTag	2179
1274	friendWith	1543
405	friendWith	1757
1895	friendWith	179
675	friendWith	1071
337	friendWith	655
749	friendWith	399
1595	friendWith	1627
4	createdTag	2118
1498	friendWith	1089
175	friendWith	1150
830	friendWith	247
355	friendWith	405
327	friendWith	638
686	createdTag	2161
1835	friendWith	539
1662	createdTag	6070
1145	friendWith	150
2029	friendWith	478
1124	friendWith	1560
427	friendWith	1819
897	friendWith	1556
960	createdTag	2222
1813	friendWith	280
1408	friendWith	317
995	friendWith	425
439	createdTag	5659
1532	friendWith	1517
1517	createdTag	2230
421	createdTag	2173
1173	friendWith	211
1562	friendWith	986
264	friendWith	761
972	createdTag	2493
501	friendWith	30
615	friendWith	43
1466	friendWith	338
62	createdTag	2156
1832	createdTag	2179
1255	friendWith	1642
290	friendWith	558
1910	friendWith	1535
385	friendWith	1027
31	friendWith	1653
1762	friendWith	1278
646	createdTag	2454
744	createdTag	2107
1503	friendWith	1662
1055	friendWith	1177
1797	createdTag	3310
1704	friendWith	1725
1601	createdTag	2712
632	friendWith	1058
994	createdTag	2133
1871	createdTag	2267
46	friendWith	1365
243	friendWith	1572
1145	friendWith	531
940	createdTag	2181
1380	createdTag	2281
1568	friendWith	1646
103	friendWith	1163
1343	friendWith	730
1679	friendWith	388
1216	friendWith	1259
782	friendWith	416
494	createdTag	2385
795	friendWith	831
117	createdTag	2835
147	createdTag	2359
843	createdTag	2365
1202	createdTag	9901
905	createdTag	2124
78	friendWith	1098
732	friendWith	589
838	friendWith	2006
1335	friendWith	1801
317	createdTag	2234
1346	createdTag	2178
1869	friendWith	2058
1153	friendWith	1785
437	friendWith	553
1382	friendWith	924
59	friendWith	2025
1922	friendWith	2029
232	friendWith	1649
499	friendWith	51
1925	createdTag	3179
317	createdTag	2406
357	friendWith	2009
503	friendWith	1790
296	friendWith	122
569	friendWith	1521
1560	friendWith	1389
1832	createdTag	2175
1768	friendWith	133
1023	friendWith	260
859	friendWith	210
1920	createdTag	2454
1699	createdTag	2203
1202	createdTag	2118
273	createdTag	2203
715	createdTag	2715
1249	createdTag	2835
2069	friendWith	213
1002	friendWith	1517
377	createdTag	2104
910	friendWith	723
917	friendWith	2068
954	createdTag	2186
1964	friendWith	198
589	friendWith	732
692	createdTag	5879
819	friendWith	1717
1663	friendWith	1332
1196	friendWith	800
2053	createdTag	3472
733	createdTag	2406
107	friendWith	108
538	friendWith	1988
190	createdTag	2124
1914	createdTag	2234
972	createdTag	2329
1161	friendWith	830
466	friendWith	938
1423	createdTag	2202
1205	friendWith	2051
655	friendWith	350
979	createdTag	2181
15	friendWith	2036
1058	friendWith	569
836	friendWith	340
232	friendWith	502
608	createdTag	3176
1282	friendWith	216
852	friendWith	1973
994	createdTag	2118
232	friendWith	227
31	createdTag	2600
2036	friendWith	743
831	friendWith	743
1558	friendWith	1769
252	createdTag	2124
1253	friendWith	1804
1757	createdTag	2202
